setname,name,region,version,alternative,parent_title,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,resolution,rotation,flip,linebreak2,players,move_inputs,special_controls,num_buttons
1943ua,1943- The Battle of Midway (US),USA,,yes,1943- The Battle of Midway,Capcom CPS-0,19XX,no,no,1987,Capcom,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,3
1943h,1943- The Battle of Midway [bl],,,yes,1943- The Battle of Midway,Capcom CPS-0,19XX,no,yes,1987,Capcom,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,3
1943mii,1943- The Battle of Midway Mark II (US),USA,,no,,Capcom CPS-0,19XX,no,no,1987,Capcom,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,3
1944,"1944- The Loop Master (EU, 000620)",Europe,000620,no,,Capcom CPS-2,19XX,no,no,2000,Eighting / Raizing / Capcom,Shooter - Vertical,,15kHz,horizontal,yes,,2 (simultaneous),8-way,n/a,2
1944j,"1944- The Loop Master (JP, 000620)",Japan,000620,yes,1944- The Loop Master,Capcom CPS-2,19XX,no,no,2000,Eighting / Raizing / Capcom,Shooter - Vertical,,15kHz,horizontal,yes,,2 (simultaneous),8-way,n/a,2
1944u,"1944- The Loop Master (US, 000620)",USA,000620,yes,1944- The Loop Master,Capcom CPS-2,19XX,no,no,2000,Eighting / Raizing / Capcom,Shooter - Vertical,,15kHz,horizontal,yes,,2 (simultaneous),8-way,n/a,2
19xxar1,"19XX- The War Against Destiny (AS, 951207)",Asia,951207,yes,19XX- The War Against Destiny,Capcom CPS-2,19XX,no,no,1996,Capcom,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,n/a,2
19xxa,"19XX- The War Against Destiny (AS, 960104)",Asia,960104,yes,19XX- The War Against Destiny,Capcom CPS-2,19XX,no,no,1996,Capcom,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,n/a,2
19xx,"19XX- The War Against Destiny (EU, 960104)",Europe,960104,no,,Capcom CPS-2,19XX,no,no,1996,Capcom,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,n/a,2
19xxh,"19XX- The War Against Destiny (HS, 951218)",Hispanic,951218,yes,19XX- The War Against Destiny,Capcom CPS-2,19XX,no,no,1996,Capcom,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,n/a,2
19xxjr2,"19XX- The War Against Destiny (JP, 951207)",Japan,951207,yes,19XX- The War Against Destiny,Capcom CPS-2,19XX,no,no,1996,Capcom,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,n/a,2
19xxjr1,"19XX- The War Against Destiny (JP, 951225)",Japan,951225,yes,19XX- The War Against Destiny,Capcom CPS-2,19XX,no,no,1996,Capcom,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,n/a,2
19xxj,"19XX- The War Against Destiny (JP, 960104)",Japan,960104,yes,19XX- The War Against Destiny,Capcom CPS-2,19XX,no,no,1996,Capcom,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,n/a,2
19xxu,"19XX- The War Against Destiny (US, 951207)",USA,951207,yes,19XX- The War Against Destiny,Capcom CPS-2,19XX,no,no,1996,Capcom,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,n/a,2
19xxb,"19XX- The War Against Destiny (W, 951218)",World,951218,yes,19XX- The War Against Destiny,Capcom CPS-2,19XX,no,no,1996,Capcom,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,n/a,2
280zzzap,280Z-ZZAP (US),USA,,no,,,,no,no,1976,Dave Nutting Associates / Midway,Racing,,15kHz,horizontal,,,1,,paddle,0
4dwarrio,4-D Warriors (315-5162),,315-5162,no,,Sega System 1,,no,no,1985,Sega,Shooter - Horizontal,,15kHz,horizontal,,,2 (alternating),4-way,,2
abortman,Abortman,,,yes,Pac-Man,,,no,no,1980,Atari,Maze,,15kHz,vertical (cw),yes,,2 (alternating),4-way,,0
afighter,"Action Fighter (W, 317-0018)",World,317-0018,no,,Sega System 16A,,no,no,1986,Sega,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (alternating),8-way,,2
afighterh,"Action Fighter (W, 317-0018)",World,FD1089A 317-0018,yes,Action Fighter,Sega System 16B,,no,no,1986,Sega,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (alternating),8-way,,2
afighterg,"Action Fighter (W, 317-unknown)",World,FD1089B 317-unknown,yes,Action Fighter,Sega System 16B,,no,no,1986,Sega,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (alternating),8-way,,2
afighterc,"Action Fighter (W, 317-xxxx)",World,FD1089B 317-xxxx,yes,Action Fighter,Sega System 16A,,no,no,1986,Sega,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (alternating),8-way,,2
afightera,"Action Fighter (W, No Protection)",World,No Protection,yes,Action Fighter,Sega System 16A,,no,no,1986,Sega,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (alternating),8-way,,2
cworld2ja,"Adventure Quiz Capcom 2 (JP, 920611, B-Board 90629B-3, no battery)",Japan,"920611, B-Board 90629B-3, no battery",yes,Adventure Quiz Capcom World 2,Capcom CPS-1,,no,no,1992,Capcom,Quiz,,15kHz,horizontal,n/a,,2 (simultaneous),n/a,n/a,4
cworld2jb,"Adventure Quiz Capcom 2 (JP, 920611, B-Board 91634B-2)",Japan,"920611, B-Board 91634B-2",yes,Adventure Quiz Capcom World 2,Capcom CPS-1,,no,no,1992,Capcom,Quiz,,15kHz,horizontal,n/a,,2 (simultaneous),n/a,n/a,4
cworld2j,"Adventure Quiz Capcom 2 (JP, 920611)",Japan,920611,no,,Capcom CPS-1,,no,no,1992,Capcom,Quiz,,15kHz,horizontal,n/a,,2 (simultaneous),n/a,n/a,4
aerolitos,Aerolitos (Spanish),,Spanish,yes,Asteroids,,,no,no,1980,Atari,Shooter - Multidirectional,,31kHz,horizontal,,,1,2-way horizontal,,3
alexkidd1,"Alex Kidd- The Lost Stars (W, Set 1)",World,"Set 1, 317-0021",yes,Alex Kidd,Sega System 16A,,no,no,1986,Sega,Platform,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,2
alexkidd,"Alex Kidd- The Lost Stars (W, Set 2)",World,"Set 2, No Protection",no,,Sega System 16A,,no,no,1986,Sega,Platform,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,2
alibaba,Ali Baba and 40 Thieves,,,no,,,,no,no,1982,Sega,Maze,,15kHz,vertical (cw),yes,,2 (alternating),4-way,,1
alienaru,Alien Arena (Stargate upgrade),,Stargate upgrade,no,,,,no,no,1985,Duncan Brown,Arena,,15kHz,horizontal,,,2 (alternating),8-way,,2
aliensynjo,"Alien Syndrome (JP, Set 1)",Japan,Set 1,yes,Alien Syndrome,Sega System 16B,,no,no,1987,Sega,Shooter - Multidirectional,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,1
aliensyn2,"Alien Syndrome (W, Set 2)",World,Set 2,yes,Alien Syndrome,Sega System 16B,,no,no,1987,Sega,Shooter - Multidirectional,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,1
aliensyn3,"Alien Syndrome (W, Set 3)",World,Set 3,yes,Alien Syndrome,Sega System 16B,,no,no,1987,Sega,Shooter - Multidirectional,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,1
aliensyn,"Alien Syndrome (W, Set 4)",World,Set 4,no,,Sega System 16B,,no,no,1987,Sega,Shooter - Multidirectional,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,1
aliensyn5,"Alien Syndrome (W, Set 5)",World,Set 5,yes,Alien Syndrome,Sega System 16B,,no,no,1987,Sega,Shooter - Multidirectional,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,1
avspa,"Alien vs. Predator (AS, 940520)",Asia,940520,yes,Alien vs. Predator,Capcom CPS-2,Aliens,no,no,1994,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,3,8-way,n/a,3
avsp,"Alien vs. Predator (EU, 940520)",Europe,940520,no,,Capcom CPS-2,Aliens,no,no,1994,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,3,8-way,n/a,3
avsph,"Alien vs. Predator (HS, 940520)",Hispanic,940520,yes,Alien vs. Predator,Capcom CPS-2,Aliens,no,no,1994,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,3,8-way,n/a,3
avspj,"Alien vs. Predator (JP, 940520)",Japan,940520,yes,Alien vs. Predator,Capcom CPS-2,Aliens,no,no,1994,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,3,8-way,n/a,3
avspu,"Alien vs. Predator (US, 940520)",USA,940520,yes,Alien vs. Predator,Capcom CPS-2,Aliens,no,no,1994,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,3,8-way,n/a,3
altbeast,Altered Beast (W),World,Set 8,no,Altered Beast,Sega System 16B,,no,no,1988,Sega,Platform,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
altbeast5,"Altered Beast (W, Set 5)",World,Set 5,yes,Altered Beast,Sega System 16B,,no,no,1988,Sega,Platform,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
maze,Amazing Maze,,,no,,,,no,no,1976,Midway,Maze,,15kHz,horizontal,,,2 (alternating),8-way,,0
amidars,Amidar (Scramble),,Scramble,no,,,,no,no,1982,Konami,Maze,,15kHz,vertical (cw),yes,,2 (alternating),4-way,,1
andromd,Andromeda [hb],,,yes,Galaxian,,,yes,no,1979,hack,Shooter - Gallery,,15kHz,vertical (cw),yes,,2 (alternating),2-way horizontal,,1
anteater,Anteater,,,no,,,,no,no,1982,Tago Electronics,Maze,,15kHz,vertical (cw),yes,,1,4-way,,1
aponow,Apocaljpse now (Rescue) [bl],,Rescue,yes,Rescue,,,no,yes,1982,,Shooter - Horizontal,,15kHz,vertical (cw),yes,,2 (alternating),8-way,twin stick,4
area88r,"Area 88 (JP, Resale)",Japan,Resale,yes,U.N. Squadron,Capcom CPS-1,U.N. Squadron,no,no,1989,Capcom,Shooter - Horizontal,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
area88,Area 88 (JP),Japan,,yes,U.N. Squadron,Capcom CPS-1,U.N. Squadron,no,no,1989,Capcom,Shooter - Horizontal,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,3
arkangc,"Arkanoid (Game Corporation, Set 1) [bl]",,"Game Corporation, Set 1",yes,Arkanoid,,,no,yes,1986,Taito,Ball and Paddle,,15kHz,vertical (cw),yes,,2 (alternating),,spinner,1
arkangc2,"Arkanoid (Game Corporation, Set 2) [bl]",,"Game Corporation, Set 2",yes,Arkanoid,,,no,yes,1986,Taito,Ball and Paddle,,15kHz,vertical (cw),yes,,2 (alternating),,spinner,1
arkanoidj,Arkanoid (JP),Japan,,yes,Arkanoid,,,no,no,1986,Taito,Ball and Paddle,,15kHz,vertical (cw),yes,,2 (alternating),,spinner,1
arktayt2,"Arkanoid (Tayto, Harder) [bl]",,"Tayto, Harder",yes,Arkanoid,,,no,yes,1986,Taito,Ball and Paddle,,15kHz,vertical (cw),yes,,2 (alternating),,spinner,0
arkatayt,Arkanoid (Tayto) [bl],,Tayto,yes,Arkanoid,,,no,yes,1986,Taito,Ball and Paddle,,15kHz,vertical (cw),yes,,2 (alternating),,spinner,1
arkanoid,Arkanoid (Unl. Lives) [hb],,Unl. Lives,yes,Arkanoid,,,yes,no,1986,Taito,Ball and Paddle,,15kHz,vertical (cw),yes,,2 (alternating),,spinner,1
arkanoid,"Arkanoid (Unl. Lives, slower) [hb]",,"Unl. Lives, slower",yes,Arkanoid,,,yes,no,1986,Taito,Ball and Paddle,,15kHz,vertical (cw),yes,,2 (alternating),,spinner,1
arkanoiduo,"Arkanoid (US, Older)",USA,Older,yes,Arkanoid,,,no,no,1986,Taito,Ball and Paddle,,15kHz,vertical (cw),yes,,2 (alternating),,spinner,1
arkanoidtayt,Arkanoid (US),World,,no,,,,no,no,1986,Taito,Ball and Paddle,,15kHz,vertical (cw),yes,,2 (alternating),,spinner,1
arkanoid,Arkanoid (W),USA,,no,,,,no,no,1986,Taito,Ball and Paddle,,15kHz,vertical (cw),yes,,2 (alternating),,spinner,1
armorcar,Armored Car,,,no,,,,no,no,1981,Stern,Maze,,15kHz,vertical (cw),yes,,2 (alternating),4-way,,2
armorcar2,Armored Car (Set 2),,Set 2,yes,Armored Car,,,no,no,1981,Stern,Maze,,15kHz,vertical (cw),no,,2 (alternating),4-way,,2
armwarar1,"Armored Warriors (AS, 940920)",Asia,940920,yes,Armored Warriors,Capcom CPS-2,,no,no,1994,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,3,8-way,n/a,3
armwara,"Armored Warriors (AS, 941024)",Asia,941024,yes,Armored Warriors,Capcom CPS-2,,no,no,1994,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,3,8-way,n/a,3
armwarr1,"Armored Warriors (EU, 941011)",Europe,941011,yes,Armored Warriors,Capcom CPS-2,,no,no,1994,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,3,8-way,n/a,3
armwar,"Armored Warriors (EU, 941024)",Europe,941024,no,,Capcom CPS-2,,no,no,1994,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,3,8-way,n/a,3
armwaru1,"Armored Warriors (US, 940920)",USA,940920,yes,Armored Warriors,Capcom CPS-2,,no,no,1994,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,3,8-way,n/a,3
armwaru,"Armored Warriors (US, 941024)",USA,941024,yes,Armored Warriors,Capcom CPS-2,,no,no,1994,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,3,8-way,n/a,3
asterock,Asterock (Sidam) [bl],,Sidam,yes,Asteroids,,,no,yes,1979,Atari,Shooter - Multidirectional,,31kHz,horizontal,,,1,2-way horizontal,,3
asterockv,Asterock (Videotron) [bl],,Videotron,yes,Asteroids,,,no,yes,1979,Atari,Shooter - Multidirectional,,31kHz,horizontal,,,1,2-way horizontal,,3
asteroid6,Asteroids (6 Bullet) [hb],,6 Bullet,yes,Asteroids,,,yes,no,1979,Atari,Shooter - Multidirectional,,31kHz,horizontal,,,1,2-way horizontal,,3
asteroid1,Asteroids (Rev 1),,Rev 1,yes,Asteroids,,,no,no,1979,Atari,Shooter - Multidirectional,,31kHz,horizontal,,,1,2-way horizontal,,3
asteroid2,Asteroids (Rev 2),,Rev 2,yes,Asteroids,,,no,no,1979,Atari,Shooter - Multidirectional,,31kHz,horizontal,,,1,2-way horizontal,,3
asteroid,Asteroids (Rev 4),,,no,,,Asteroids,,,1979,Atari,Shooter - Multidirectional,,31kHz,horizontal,,,2 (alternating),8-way,,3
astdelux1,Asteroids Deluxe (Rev 1),,Rev 1,yes,Asteroids Deluxe,,,no,no,1980,Atari,Shooter - Multidirectional,,31kHz,horizontal,,,1,2-way horizontal,,3
astdelux2,Asteroids Deluxe (Rev 2),,Rev 2,yes,Asteroids Deluxe,,,no,no,1980,Atari,Shooter - Multidirectional,,31kHz,horizontal,,,1,2-way horizontal,,3
a.astdeluxe,Asteroids Deluxe (Rev 3),,,no,,,,no,no,1980,Atari,Shooter - Multidirectional,,31kHz,horizontal,,,2 (alternating),8-way,,3
astdelux4,Asteroids Deluxe [hb],,,yes,Asteroids Deluxe,,,yes,no,1980,Atari,Shooter - Multidirectional,,31kHz,horizontal,,,1,2-way horizontal,,3
astrians,Astrians (Swarm) [bl],,Swarm,yes,Galaxian,,,no,yes,1980,BGV Ltd.,Shooter - Gallery,,15kHz,vertical (cw),yes,,2 (alternating),2-way horizontal,,1
astrofl,Astro Flash (Japan),Japan,,no,,Sega System E,,no,no,1986,Sega,Shooter - Horizontal,,15kHz,horizontal,,,1,8-way,,2
astroped,Astropede [hb],,,yes,Centipede,,,yes,no,1980,Atari,Shooter - Gallery,,15kHz,vertical (ccw),no,,1,,trackball,1
astropd2,Astropede II [hb],,,yes,Centipede,,,yes,no,1980,Atari,Shooter - Gallery,,15kHz,vertical (ccw),no,,1,,trackball,1
asideral,"Ataque Sideral (Spanish, UniWar S) [bl]",,"Spanish, UniWar S",yes,UniWar S,,,no,yes,1980,Electrogame S.A.,Shooter - Gallery,,15kHz,vertical (cw),yes,,2 (alternating),2-way horizontal,,1
attackfc,Attack Force,,,no,,,,no,no,1979,Electronic Games Systems,Shooter - Gallery,,15kHz,horizontal,,,1,2-way horizontal,,1
aurailj,"Aurail (JP, Set 1)",Japan,"Set 1, FD1089A 317-0167",yes,Aurail,Sega System 16B,,no,no,1990,Sega,Shooter - Multidirectional,,15kHz,horizontal,n/a,,2 (alternating),8-way,n/a,3
aurail,"Aurail (US, Set 3)",USA,"Set 3, unprotected",yes,Aurail,Sega System 16B,,no,no,1990,Sega,Shooter - Multidirectional,,15kHz,horizontal,n/a,,2 (alternating),8-way,n/a,3
aurail1,"Aurail (W, Set 2)",World,"Set 2, FD1089B 317-0168",yes,Aurail,Sega System 16B,,no,no,1990,Sega,Shooter - Multidirectional,,15kHz,horizontal,n/a,,2 (alternating),8-way,n/a,3
avefenix,"Ave Fenix (Electrogame, Spanish, Phoenix) [bl]",,"Electrogame, Spanish, Phoenix",yes,Phoenix,,,no,yes,1980,Video Game,Shooter - Gallery,,15kHz,vertical (cw),yes,,2 (alternating),2-way horizontal,,1
avefenixl,"Ave Fenix (Laguna, Spanish, Phoenix) [bl]",,"Laguna, Spanish, Phoenix",yes,Phoenix,,,no,yes,1980,Laguna,Shooter - Gallery,,15kHz,vertical (cw),yes,,2 (alternating),2-way horizontal,,1
avefenixrf,"Ave Fenix (Recreativos Franco, Spanish, Phoenix) [bl]",,"Recreativos Franco, Spanish, Phoenix",yes,Phoenix,,,no,yes,1980,Recreativos Franco S.A.,Shooter - Gallery,,15kHz,vertical (cw),yes,,2 (alternating),2-way horizontal,,1
azurian,Azurian Attack,,,no,,,,no,no,1982,Rait Electronics Ltd,Shooter - Multidirectional,,15kHz,vertical (cw),yes,,2 (alternating),8-way,,2
baby2,Baby Pac-Man 2 (Alt) [hb],,Alt,yes,Pac-Man,,Pac-Man,yes,no,1980,Atari,Maze,,15kHz,vertical (cw),yes,,2 (alternating),4-way,,0
baby3,Baby Pac-Man 3 (Alt) [hb],,Alt,yes,Pac-Man,,Pac-Man,yes,no,1980,Atari,Maze,,15kHz,vertical (cw),yes,,2 (alternating),4-way,,0
baddudes,"Bad Dudes vs. Dragonninja (US, Rev. 1)",USA,Rev. 1,no,Bad Dudes vs. Dragonninja,,,no,no,1988,Data East,Platform,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,n/a,2
bagman,Bagman,,,no,,,,no,no,1982,Valadon Automation,Platform - Climb,,15kHz,vertical (cw),no,,2 (alternating),4-way,,1
bagmans,"Bagman (Stern, Set 1)",,"Stern, Set 1",yes,Bagman,,,no,no,1982,Valadon Automation / Stern,Platform - Climb,,15kHz,vertical (cw),no,,2 (alternating),4-way,,1
bagmans2,"Bagman (Stern, Set 2)",,"Stern, Set 2",yes,Bagman,,,no,no,1982,Valadon Automation / Stern,Platform - Climb,,15kHz,vertical (cw),no,,2 (alternating),4-way,,1
bagmanj,Bagman (Taito),,Taito,yes,Bagman,,,no,no,1982,Valadon Automation / Taito,Platform - Climb,,15kHz,vertical (cw),no,,2 (alternating),4-way,,1
bagturbo,"Bagman Turbo (Stern, Set 1, Cheat) [hb]",,"Stern, Set 1, Cheat",yes,Bagman,,,yes,no,1982,Valadon Automation,Platform - Climb,,15kHz,vertical (cw),no,,2 (alternating),4-way,,1
ballbomb,Balloon Bomber,,,no,,,,no,no,1980,Taito,Shooter - Gallery,,15kHz,vertical (ccw),yes,,2 (alternating),2-way horizontal,,1
batcira,"Battle Circuit (AS, 970319)",Asia,970319,yes,Battle Circuit,Capcom CPS-2,,no,no,1997,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,4,8-way,n/a,2
batcir,"Battle Circuit (EU, 970319)",Europe,970319,no,,Capcom CPS-2,,no,no,1997,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,4,8-way,n/a,2
batcirj,"Battle Circuit (JP, 970319)",Japan,970319,yes,Battle Circuit,Capcom CPS-2,,no,no,1997,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,4,8-way,n/a,2
atlantis2,Battle of Atlantis,,,no,,,,no,no,1981,Comsoft,Shooter - Horizontal,,15kHz,vertical (cw),no,,2 (alternating),8-way,,2
battles2,Battles (Set 2),,Set 2,yes,Xevious,,,no,no,1982,,Shooter - Vertical,,15kHz,vertical (cw),no,,2 (alternating),8-way,,2
beastfp,Beastie Feastie (Pac-Man Conversion),,Pac-Man Conversion,no,,,,no,no,1984,Epos Corporation,Platform - Climb,,15kHz,vertical (cw),yes,,2 (alternating),4-way,,2
berzerk,Berzerk,,,no,,,,no,no,1980,Stern,Shooter - Multidirectional,,15kHz,horizontal,,,2 (alternating),8-way,,1
berzerkf,"Berzerk (FR, Speech, Rev RC31)",France,"Speech, Rev RC31",yes,Berzerk,,,no,no,1980,Stern,Arena,,15kHz,horizontal,,,2 (alternating),8-way,,1
berzerkg,"Berzerk (German Speech, Rev RC31)",,"German Speech, Rev RC31",yes,Berzerk,,,no,no,1980,Stern,Arena,,15kHz,horizontal,,,2 (alternating),8-way,,1
berzerkb,Berzerk (Rev RC28),,Rev RC28,yes,Berzerk,,,no,no,1980,Stern,Arena,,15kHz,horizontal,,,2 (alternating),8-way,,1
berzerka,Berzerk (Rev RC31),,Rev RC31,yes,Berzerk,,,no,no,1980,Stern,Arena,,15kHz,horizontal,,,2 (alternating),8-way,,1
berzerks,"Berzerk (Spanish Speech, Rev RC32)",,"Spanish Speech, Rev RC32",yes,Berzerk,,,no,no,1980,Stern,Arena,,15kHz,horizontal,,,2 (alternating),8-way,,1
punisherbz,"Biaofeng Zhanjing (The Punisher, CPS1, Chinese) [bl]",,"The Punisher, CPS1, Chinese",yes,The Punisher,Capcom CPS-1.5,,no,yes,1993,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,2
punisherbz,"Biaofeng Zhanjing (The Punisher, CPS1.5, Chinese) [bl]",,"The Punisher, CPS1.5, Chinese",yes,The Punisher,Capcom CPS-1.5,,no,yes,1993,Capcom,Beat 'em Up,,15kHz,horizontal,n/a,,2 (simultaneous),8-way,,2
bigkong,Big Kong,,,no,,,Donkey Kong,no,no,1981,Falcon,Platform - Climb,,15kHz,vertical (cw),no,,2 (alternating),4-way,,1
bilyard,Billiard,,,no,,TIAMC1,,no,no,1988,Terminal,Sports,,15kHz,horizontal,,,1,2-way horizontal,,1
bionicc,Bionic Commando,,,no,,Capcom CPS-0,,no,no,1987,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,2
bionicc1,"Bionic Commando (US, Set 1)",USA,Set 1,yes,Bionic Commando,Capcom CPS-0,,no,no,1987,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,2
bionicc2,"Bionic Commando (US, Set 2)",USA,Set 2,yes,Bionic Commando,Capcom CPS-0,,no,no,1987,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,2
bioniccbl2,Bionic Commandos (Set 2) [bl],,Set 2,yes,Bionic Commando,Capcom CPS-0,,no,yes,1987,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,2
birdiy,Birdiy,,,no,,,,no,no,1983,Mama Top,Maze,,15kHz,vertical (cw),yes,,2 (alternating),4-way,,1
blktiger,Black Dragon (JP),Japan,,yes,Black Tiger,Capcom CPS-0,,no,no,1987,Capcom,Platform,,15kHz,horizontal,n/a,,2 (alternating),8-way,,2
