setname,name,region,version,alternative,parent_title,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,resolution,rotation,flip,linebreak2,players,move_inputs,special_controls,num_buttons
1942w,1942 (Williams),World,Williams,yes,1942,Capcom CPS-0,19XX,no,no,1984,Capcom (Williams Electronics license),Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,2
1943,1943- The Battle of Midway (EU),Europe,,yes,1943- The Battle of Midway,Capcom CPS-0,19XX,no,no,1987,Capcom,Shooter - Flying Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,3
1943h,1943- The Battle of Midway [bl],World,,yes,1943- The Battle of Midway,Capcom CPS-0,19XX,no,yes,1987,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,3
1943j,"1943- Midway Kaisen (JP, Rev B)",Japan,Rev B,no,1943- The Battle of Midway,Capcom CPS-0,19XX,no,no,1987,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,3
1943ja,1943- Midway Kaisen (JP),Japan,,yes,1943- The Battle of Midway,Capcom CPS-0,19XX,no,no,1987,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,3
1943jah,1943- Midway Kaisen (no Protection) [hb],World,no Protection,yes,1943- The Battle of Midway,Capcom CPS-0,19XX,yes,no,1987,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,3
1943kai,1943- Kai Midway Kaisen (JP),Japan,,no,1943- The Battle of Midway,Capcom CPS-0,19XX,no,no,1987,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,2
1943kais01,"1943- Kai Midway Kaisen (Ex Super, v090210) [hb]",World,"Ex Super, v090210",yes,1943- The Battle of Midway,Capcom CPS-0,19XX,yes,no,1987,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,3
1943mii,1943- The Battle of Midway Mark II (US),USA,,no,1943- The Battle of Midway,Capcom CPS-0,19XX,no,no,1987,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,3
1943u,"1943- The Battle of Midway (US, Rev C)",USA,,no,1943- The Battle of Midway,Capcom CPS-0,19XX,no,no,1987,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,3
1943ua,1943- The Battle of Midway (US),USA,,yes,1943- The Battle of Midway,Capcom CPS-0,19XX,no,no,1987,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,3
1944,"1944- The Loop Master (EU, 000620)",Europe,000620,yes,1944- The Loop Master,Capcom CPS-2,19XX,no,no,2000,Eighting - Raizing (Capcom license),Shooter - Flying Vertical,,15kHz,horizontal,yes,,2 (simultaneous),8-way,n-a,2
1944d,"1944- The Loop Master (US, Phoenix Edition) [bl]",USA,Phoenix Edition,yes,1944- The Loop Master,Capcom CPS-2,19XX,no,yes,2000,bootleg,Shooter - Flying Vertical,,15kHz,horizontal,yes,,2 (simultaneous),8-way,n-a,2
1944j,"1944- The Loop Master (JP, 000620)",Japan,000620,no,1944- The Loop Master,Capcom CPS-2,19XX,no,no,2000,Eighting - Raizing (Capcom license),Shooter - Flying Vertical,,15kHz,horizontal,yes,,2 (simultaneous),8-way,n-a,2
1944u,"1944- The Loop Master (US, 000620)",USA,000620,yes,1944- The Loop Master,Capcom CPS-2,19XX,no,no,2000,Eighting - Raizing (Capcom license),Shooter - Flying Vertical,,15kHz,horizontal,yes,,2 (simultaneous),8-way,n-a,2
19xx,"19XX- The War Against Destiny (EU, 960104)",Europe,960104,yes,19XX- The War Against Destiny,Capcom CPS-2,19XX,no,no,1996,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,n-a,2
19xxa,"19XX- The War Against Destiny (AS, 960104)",Asia,960104,yes,19XX- The War Against Destiny,Capcom CPS-2,19XX,no,no,1996,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,n-a,2
19xxar1,"19XX- The War Against Destiny (AS, 951207)",Asia,951207,yes,19XX- The War Against Destiny,Capcom CPS-2,19XX,no,no,1996,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,n-a,2
19xxb,"19XX- The War Against Destiny (W, 951218)",World,951218,yes,19XX- The War Against Destiny,Capcom CPS-2,19XX,no,no,1996,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,n-a,2
19xxd,"19XX- The War Against Destiny (US, Phoenix Edition) [bl]",USA,Phoenix Edition,yes,19XX- The War Against Destiny,Capcom CPS-2,19XX,no,yes,1996,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,n-a,2
19xxh,"19XX- The War Against Destiny (HS, 951218)",Hispanic,951218,yes,19XX- The War Against Destiny,Capcom CPS-2,19XX,no,no,1996,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,n-a,2
19xxj,"19XX- The War Against Destiny (JP, 960104)",Japan,960104,no,19XX- The War Against Destiny,Capcom CPS-2,19XX,no,no,1996,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,n-a,2
19xxjr1,"19XX- The War Against Destiny (JP, 951225)",Japan,951225,yes,19XX- The War Against Destiny,Capcom CPS-2,19XX,no,no,1996,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,n-a,2
19xxjr2,"19XX- The War Against Destiny (JP, 951207)",Japan,951207,yes,19XX- The War Against Destiny,Capcom CPS-2,19XX,no,no,1996,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,n-a,2
19xxu,"19XX- The War Against Destiny (US, 951207)",USA,951207,yes,19XX- The War Against Destiny,Capcom CPS-2,19XX,no,no,1996,Capcom,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,n-a,2
280zzzap,280Z-ZZAP (US),USA,,no,280Z-ZZAP,Midway 8080,,no,no,1976,Dave Nutting Associates - Midway,Driving - 1st Person,,15kHz,horizontal,,,1,,paddle,0
3wonders,"Three Wonders (W, 910520)",World,910520,no,,Capcom CPS-1,,no,no,1991,Capcom,MultiGame - Compilation,,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,3
3wondersb,Three Wonders [bl],World,,yes,Three Wonders,Capcom CPS-1,,no,yes,1991,Capcom,MultiGame - Compilation,,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,3
3wondersh,Three Wonders (Hack) [bl],World,Hack,yes,Three Wonders,Capcom CPS-1,,no,yes,1991,Capcom,MultiGame - Compilation,,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,3
3wondersr1,"Three Wonders (W, 910513)",World,910513,yes,Three Wonders,Capcom CPS-1,,no,no,1991,Capcom,MultiGame - Compilation,,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,3
3wondersu,"Three Wonders (US, 920520)",USA,920520,yes,Three Wonders,Capcom CPS-1,,no,no,1991,Capcom,MultiGame - Compilation,,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,3
4dwarrio,4-D Warriors (315-5162),World,315-5162,no,4-D Warriors,Sega System 1,,no,no,1985,Sega,Shooter - Flying Horizontal,,15kHz,horizontal,,,2 (alternating),4-way,,2
abortman,Abortman,World,,yes,Pac-Man,Namco Pac-Man hardware,,no,no,1980,Atari,Maze - Collect,,15kHz,vertical (cw),yes,,2 (alternating),4-way,,0
aceattac,"Ace Attacker (W, 317-0059)",World,FD1094 317-0059,yes,Ace Attacker,Sega System 16,,no,no,1988,Sega,Sports - Volleyball,,15kHz,vertical (ccw),yes,,1,,,
aceattaca,"Ace Attacker (JP, 317-0060)",Japan,FD1094 317-0060,no,Ace Attacker,Sega System 16,,no,no,1988,Sega,Sports - Volleyball,,15kHz,vertical (ccw),yes,,1,,,
aerolitos,Aerolitos (ES),Spain,Spanish,yes,Asteroids,Atari Vector,,no,no,1980,Atari,Shooter - Field,,31kHz,horizontal,,,1,2-way horizontal,,3
afighter,"Action Fighter (W, S16A)",World,317-0018,no,Action Fighter,Sega System 16,,no,no,1986,Sega,Shooter - Misc. Vertical,,15kHz,vertical (ccw),yes,,2 (alternating),8-way,,2
afightera,"Action Fighter (W, S16A, No Protection)",World,No Protection,yes,Action Fighter,Sega System 16,,no,no,1986,Sega,Shooter - Misc. Vertical,,15kHz,vertical (ccw),yes,,2 (alternating),8-way,,2
afighterb,"Action Fighter (W, S16A, No Protection, analog)",World,FD1089B 317-xxxx,yes,Action Fighter,Sega System 16,,no,no,1986,Sega,Shooter - Misc. Vertical,,15kHz,vertical (ccw),yes,,2 (alternating),8-way,,2
afighterc,"Action Fighter (W, S16A, 317-unknown)",World,FD1089B 317-xxxx,yes,Action Fighter,Sega System 16,,no,no,1986,Sega,Shooter - Misc. Vertical,,15kHz,vertical (ccw),yes,,2 (alternating),8-way,,2
afighterd,"Action Fighter (W, S16A, 317-unknown, analog)",World,FD1089B 317-xxxx,yes,Action Fighter,Sega System 16,,no,no,1986,Sega,Shooter - Misc. Vertical,,15kHz,vertical (ccw),yes,,2 (alternating),8-way,,2
afightere,"Action Fighter (W, S16B, unprotected, analog)",World,FD1089B 317-xxxx,yes,Action Fighter,Sega System 16,,no,no,1986,Sega,Shooter - Misc. Vertical,,15kHz,vertical (ccw),yes,,2 (alternating),8-way,,2
afighterf,"Action Fighter (W, S16B, 317-unknown, analog)",World,FD1089B 317-xxxx,yes,Action Fighter,Sega System 16,,no,no,1986,Sega,Shooter - Misc. Vertical,,15kHz,vertical (ccw),yes,,2 (alternating),8-way,,2
afighterg,"Action Fighter (W, S16B, 317-unknown)",World,FD1089B 317-unknown,yes,Action Fighter,Sega System 16,,no,no,1986,Sega,Shooter - Misc. Vertical,,15kHz,vertical (ccw),yes,,2 (alternating),8-way,,2
afighterh,"Action Fighter (W, S16B)",World,FD1089A 317-0018,no,Action Fighter,Sega System 16,,no,no,1986,Sega,Shooter - Misc. Vertical,,15kHz,vertical (ccw),yes,,2 (alternating),8-way,,2
airdueljm72,"Air Duel (JP, M72 hardware)",Japan,,no,Air Duel,Irem M72,,no,no,1990,Irem,Shooter - Flying Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
airduelm72,"Air Duel (W, M72 hardware)",World,,yes,Air Duel,Irem M72,,no,no,1990,Irem,Shooter - Flying Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
alcon,Alcon [bl],World,,no,Slap Fight,Toaplan Slap Fight hardware,Slap Fight,no,no,1986,Toaplan - Taito,Shooter - Flying Vertical,,15kHz,vertical (ccw),yes,,2 (alternating),8-way,,2
alexkidd,"Alex Kidd- The Lost Stars (W, S16A, Set 2)",World,"Set 2, No Protection",no,Alex Kidd,Sega System 16,,no,no,1986,Sega,"Platform - Run, Jump &amp; Scrolling",,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,2
alexkidd1,"Alex Kidd- The Lost Stars (W, S16A, Set 1)",World,"Set 1, 317-0021",yes,Alex Kidd,Sega System 16,,no,no,1986,Sega,"Platform - Run, Jump &amp; Scrolling",,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,2
alibaba,Ali Baba and 40 Thieves,World,,no,Ali Baba and 40 Thieves,Sega Z80,,no,no,1982,Sega,Maze - Collect,,15kHz,vertical (cw),yes,,2 (alternating),4-way,,1
alibabab,Mustafa and 40 Thieves [bl],World,,yes,Alibaba,Sega Z80,,no,yes,1982,,Maze - Collect,,15kHz,vertical (cw),yes,,2 (alternating),4-way,,1
alienaru,Alien Arena (Stargate upgrade),World,Stargate upgrade,no,Alien Arena,Williams 1st Generation,,no,no,1985,Duncan Brown,Maze - Collect,,15kHz,horizontal,,,2 (alternating),8-way,,2
aliensyn,"Alien Syndrome (W, S16B, Set 4)",World,Set 4,no,Alien Syndrome,Sega System 16,,no,no,1987,Sega,Maze - Shooter Large,,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,1
aliensyn2,"Alien Syndrome (W, S16A, Set 2)",World,Set 2,yes,Alien Syndrome,Sega System 16,,no,no,1987,Sega,Maze - Shooter Large,,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,1
aliensyn3,"Alien Syndrome (W, S16B, Set 3)",World,Set 3,yes,Alien Syndrome,Sega System 16,,no,no,1987,Sega,Maze - Shooter Large,,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,1
aliensyn5,"Alien Syndrome (W, S16A, Set 5)",World,Set 5,yes,Alien Syndrome,Sega System 16,,no,no,1987,Sega,Maze - Shooter Large,,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,1
aliensyn7,"Alien Syndrome (W, S16B, Set 7)",World,Set 7,yes,Alien Syndrome,Sega System 16,,no,no,1987,Sega,Maze - Shooter Large,,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,1
aliensynj,"Alien Syndrome (JP, S16B, Set 6, new)",Japan,Set 6,yes,Alien Syndrome,Sega System 16,,no,no,1987,Sega,Maze - Shooter Large,,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,1
aliensynjo,"Alien Syndrome (JP, S16A, Set 1)",Japan,Set 1,yes,Alien Syndrome,Sega System 16,,no,no,1987,Sega,Maze - Shooter Large,,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,1
alphamis,Alpha Mission,World,,yes,ASO - Armored Scrum Object,SNK Triple Z80,,no,no,1985,SNK,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,3
altbeast,"Altered Beast (W, Set 8)",World,Set 8,no,Altered Beast,Sega System 16,,no,no,1988,Sega,Platform - Fighter Scrolling,,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,3
altbeast2,"Altered Beast (W, Set 2)",World,Set 2,yes,Altered Beast,Sega System 16,,no,no,1988,Sega,Platform - Fighter Scrolling,,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,3
altbeast4,"Altered Beast (W, Set 4)",World,Set 4,yes,Altered Beast,Sega System 16,,no,no,1988,Sega,Platform - Fighter Scrolling,,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,3
altbeast5,"Altered Beast (W, Set 5)",World,Set 5,yes,Altered Beast,Sega System 16,,no,no,1988,Sega,Platform - Fighter Scrolling,,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,3
altbeast6,"Altered Beast (W, Set 6)",World,Set 6,yes,Altered Beast,Sega System 16,,no,no,1988,Sega,Platform - Fighter Scrolling,,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,3
altbeastj,"Juuouki (JP, Set 7)",Japan,Set 7,yes,Altered Beast,Sega System 16,,no,no,1988,Sega,Platform - Fighter Scrolling,,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,3
altbeastj1,"Juuouki (JP, Set 1)",Japan,Set 1,yes,Altered Beast,Sega System 16,,no,no,1988,Sega,Platform - Fighter Scrolling,,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,3
altbeastj3,"Juuouki (JP, Set 3)",Japan,Set 3,yes,Altered Beast,Sega System 16,,no,no,1988,Sega,Platform - Fighter Scrolling,,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,3
amatelas,Sei Senshi Amatelass,Japan,,no,Sei Senshi Amatelass,Nichibutsu M68000 (Terra Cresta),,no,no,1986,Nichibutsu,Shooter - Walking,,15kHz,vertical (cw),yes,,2 (alternating),8-way,,2
amazon,Soldier Girl Amazon,World,,yes,Sei Senshi Amatelass,Nichibutsu M68000 (Terra Cresta),,no,no,1986,Nichibutsu,Shooter - Walking,,15kHz,vertical (cw),yes,,2 (alternating),8-way,,2
amazont,Soldier Girl Amazon (Tecfri license),World,Tecfri license,yes,Sei Senshi Amatelass,Nichibutsu M68000 (Terra Cresta),,no,no,1986,Nichibutsu,Shooter - Walking,,15kHz,vertical (cw),yes,,2 (alternating),8-way,,2
amidars,Amidar (Scramble),World,Scramble ver,no,Amidar,Konami Scramble based,,no,no,1982,Konami,Maze - Outline,,15kHz,vertical (cw),yes,,2 (alternating),4-way,,1
andromd,Andromeda [hb],World,,yes,Galaxian,Namco Galaxian based,,yes,no,1979,hack,Shooter - Gallery,,15kHz,vertical (cw),yes,,2 (alternating),2-way horizontal,,1
anteater,Anteater,World,,no,Anteater,Konami Scramble based,,no,no,1982,Tago Electronics,Maze - Collect,,15kHz,vertical (cw),yes,,1,4-way,,1
aponow,Apocaljpse Now (Rescue) [bl],World,Rescue,yes,Rescue,Konami Scramble based,,no,yes,1982,,Shooter - Flying,,15kHz,vertical (cw),yes,,2 (alternating),8-way,twin stick,4
area88,Area 88 (JP),Japan,,yes,U.N. Squadron,Capcom CPS-1,U.N. Squadron,no,no,1989,Capcom,Shooter - Flying Horizontal,,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,3
area88r,"Area 88 (JP, Resale)",Japan,Resale,yes,U.N. Squadron,Capcom CPS-1,U.N. Squadron,no,no,1989,Capcom,Shooter - Flying Horizontal,,15kHz,horizontal,n-a,,2 (simultaneous),8-way,,3
arian,Arian Mission,World,,yes,ASO - Armored Scrum Object,SNK Triple Z80,,no,no,1985,SNK,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,3
arkangc,"Arkanoid (Game Corporation, Set 1) [bl]",World,"Game Corporation, Set 1",yes,Arkanoid,Taito Arkanoid hardware,,no,yes,1986,Taito,Ball &amp; Paddle - Breakout,,15kHz,vertical (cw),yes,,2 (alternating),,spinner,1
arkangc2,"Arkanoid (Game Corporation, Set 2) [bl]",World,"Game Corporation, Set 2",yes,Arkanoid,Taito Arkanoid hardware,,no,yes,1986,Taito,Ball &amp; Paddle - Breakout,,15kHz,vertical (cw),yes,,2 (alternating),,spinner,1
arkanoid,"Arkanoid (W, Older)",World,,yes,Arkanoid,Taito Arkanoid hardware,,no,no,1986,Taito,Ball &amp; Paddle - Breakout,,15kHz,vertical (cw),yes,,2 (alternating),,spinner,1
arkanoidj,Arkanoid (JP),Japan,,no,Arkanoid,Taito Arkanoid hardware,,no,no,1986,Taito,Ball &amp; Paddle - Breakout,,15kHz,vertical (cw),yes,,2 (alternating),,spinner,1
arkanoidtayt,Arkanoid (US),USA,,yes,Arkanoid,Taito Arkanoid hardware,,no,no,1986,Taito,Ball &amp; Paddle - Breakout,,15kHz,vertical (cw),yes,,2 (alternating),,spinner,1
arkanoiduo,"Arkanoid (US, Older)",USA,Older,yes,Arkanoid,Taito Arkanoid hardware,,no,no,1986,Taito,Ball &amp; Paddle - Breakout,,15kHz,vertical (cw),yes,,2 (alternating),,spinner,1
arkatayt,Arkanoid (Tayto) [bl],World,Tayto,yes,Arkanoid,Taito Arkanoid hardware,,no,yes,1986,Taito,Ball &amp; Paddle - Breakout,,15kHz,vertical (cw),yes,,2 (alternating),,spinner,1
arkbloc2,"Block (Game Corporation, Set 2) [bl]",World,"Game Corporation, Set 2",yes,Arkanoid,Taito Arkanoid hardware,,no,yes,1986,Taito - Game Corporation,Ball &amp; Paddle - Breakout,,15kHz,vertical (cw),yes,,2 (alternating),,spinner,0
arkblock,"Block (Game Corporation, Set 1) [bl]",World,"Game Corporation, Set 1",yes,Arkanoid,Taito Arkanoid hardware,,no,yes,1986,Taito - Game Corporation,Ball &amp; Paddle - Breakout,,15kHz,vertical (cw),yes,,2 (alternating),,spinner,0
arktayt2,"Arkanoid (Tayto, Harder) [bl]",World,"Tayto, Harder",yes,Arkanoid,Taito Arkanoid hardware,,no,yes,1986,Taito,Ball &amp; Paddle - Breakout,,15kHz,vertical (cw),yes,,2 (alternating),,spinner,0
armedf,Armed F (JP),Japan,,no,Armed F,Nichibutsu M68000 (Armed F),,no,no,1988,Nichibutsu,Shooter - Flying Vertical,,15kHz,vertical (ccw),,,1,8-way,,2
armedff,Armed F (Fillmore license),World,Fillmore license,yes,Armed F,Nichibutsu M68000 (Armed F),,no,no,1988,Nichibutsu,Shooter - Flying Vertical,,15kHz,vertical (ccw),,,1,8-way,,2
armorcar,Armored Car,World,,no,Armored Car,Konami Scramble based,,no,no,1981,Stern,Maze - Collect,,15kHz,vertical (cw),yes,,2 (alternating),4-way,,2
armorcar2,Armored Car (Set 2),World,Set 2,yes,Armored Car,Konami Scramble based,,no,no,1981,Stern,Maze - Collect,,15kHz,vertical (cw),no,,2 (alternating),4-way,,2
armwar,"Armored Warriors (EU, 941024)",Europe,941024,yes,Armored Warriors,Capcom CPS-2,,no,no,1994,Capcom,Platform - Fighter Scrolling,,15kHz,horizontal,n-a,,3 (simultaneous),8-way,n-a,3
armwar1d,"Armored Warriors (EU, Phoenix Edition) [bl]",Europe,Phoenix Edition,yes,Armored Warriors,Capcom CPS-2,,no,no,1994,Capcom,Platform - Fighter Scrolling,,15kHz,horizontal,n-a,,3 (simultaneous),8-way,n-a,3
armwara,"Armored Warriors (AS, 941024)",Asia,941024,no,Armored Warriors,Capcom CPS-2,,no,no,1994,Capcom,Platform - Fighter Scrolling,,15kHz,horizontal,n-a,,3 (simultaneous),8-way,n-a,3
armwarar1,"Armored Warriors (AS, 940920)",Asia,940920,yes,Armored Warriors,Capcom CPS-2,,no,no,1994,Capcom,Platform - Fighter Scrolling,,15kHz,horizontal,n-a,,3 (simultaneous),8-way,n-a,3
armwarb,"Armored Warriors (BZ, 941024)",Brazil,941024,yes,Armored Warriors,Capcom CPS-2,,no,no,1994,Capcom,Platform - Fighter Scrolling,,15kHz,horizontal,n-a,,3 (simultaneous),8-way,n-a,3
armwarr1,"Armored Warriors (EU, 941011)",Europe,941011,yes,Armored Warriors,Capcom CPS-2,,no,no,1994,Capcom,Platform - Fighter Scrolling,,15kHz,horizontal,n-a,,3 (simultaneous),8-way,n-a,3
armwaru,"Armored Warriors (US, 941024)",USA,941024,yes,Armored Warriors,Capcom CPS-2,,no,no,1994,Capcom,Platform - Fighter Scrolling,,15kHz,horizontal,n-a,,3 (simultaneous),8-way,n-a,3
armwaru1,"Armored Warriors (US, 940920)",USA,940920,yes,Armored Warriors,Capcom CPS-2,,no,no,1994,Capcom,Platform - Fighter Scrolling,,15kHz,horizontal,n-a,,3 (simultaneous),8-way,n-a,3
asideral,"Ataque Sideral (ES, UniWar S) [bl]",Spain,"Spanish, UniWar S",yes,UniWar S,Namco Galaxian based,,no,yes,1980,Electrogame S.A.,Shooter - Gallery,,15kHz,vertical (cw),yes,,2 (alternating),2-way horizontal,,1
aso,ASO - Armored Scrum Object,Japan,,no,ASO - Armored Scrum Object,SNK Triple Z80,,no,no,1985,SNK,Shooter - Flying Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,3
astdelux,Asteroids Deluxe (Rev 3),World,,no,Asteroids Deluxe,Atari Vector,,no,no,1980,Atari,Shooter - Field,,31kHz,horizontal,,,2 (alternating),8-way,,3
astdelux1,Asteroids Deluxe (Rev 1),World,Rev 1,yes,Asteroids Deluxe,Atari Vector,,no,no,1980,Atari,Shooter - Field,,31kHz,horizontal,,,1,2-way horizontal,,3
astdelux2,Asteroids Deluxe (Rev 2),World,Rev 2,yes,Asteroids Deluxe,Atari Vector,,no,no,1980,Atari,Shooter - Field,,31kHz,horizontal,,,1,2-way horizontal,,3
astdelux4,Asteroids Deluxe [hb],World,,yes,Asteroids Deluxe,Atari Vector,,yes,no,1980,Atari,Shooter - Field,,31kHz,horizontal,,,1,2-way horizontal,,3
asterock,Asterock (Sidam) [bl],World,Sidam,yes,Asteroids,Atari Vector,,no,yes,1979,Atari,Shooter - Field,,31kHz,horizontal,,,1,2-way horizontal,,3
asterockv,Asterock (Videotron) [bl],World,Videotron,yes,Asteroids,Atari Vector,,no,yes,1979,Atari,Shooter - Field,,31kHz,horizontal,,,1,2-way horizontal,,3
asteroid,Asteroids (Rev 4),World,,no,Asteroids,Atari Vector,Asteroids,,,1979,Atari,Shooter - Field,,31kHz,horizontal,,,2 (alternating),8-way,,3
asteroid1,Asteroids (Rev 1),World,Rev 1,yes,Asteroids,Atari Vector,,no,no,1979,Atari,Shooter - Field,,31kHz,horizontal,,,1,2-way horizontal,,3
asteroid2,Asteroids (Rev 2),World,Rev 2,yes,Asteroids,Atari Vector,,no,no,1979,Atari,Shooter - Field,,31kHz,horizontal,,,1,2-way horizontal,,3
asteroid6,Asteroids (6 Bullet) [hb],World,6 Bullet,yes,Asteroids,Atari Vector,,yes,no,1979,Atari,Shooter - Field,,31kHz,horizontal,,,1,2-way horizontal,,3
astrians,Astrians (Swarm) [bl],World,Swarm,yes,Galaxian,Namco Galaxian based,,no,yes,1980,BGV Ltd.,Shooter - Gallery,,15kHz,vertical (cw),yes,,2 (alternating),2-way horizontal,,1
